oficio4_08,nombre,n,n_h,n_m,gap_ajustado_pct,p_valor,p_fdr,significativo,sig_fdr,brecha_cruda_pct
5142,Cosmetólogos y especialistas en tratamiento de belleza,685,25,660,-63.184299743891906,0.001235206820731083,0.0064286900442595,True,True,-67.15135082190722
7513,Operarios de la elaboración de productos lácteos,69,34,35,-62.67580227065115,0.0013870398113489113,0.006905046017367407,True,True,-42.13657629624473
6122,Avicultores y trabajadores calificados de la avicultura,106,76,30,-60.81614777495946,2.129132421480051e-06,2.7087295806607314e-05,True,True,-56.34354107599358
7318,"Artesanos de los tejidos, el cuero y materiales similares",424,65,359,-56.97437407620516,1.237387969865722e-11,2.8336184509925034e-10,True,True,-53.13457418569498
7533,Costureros y bordadores,589,39,550,-53.681435238055094,9.319492511039584e-09,1.7784698208567207e-07,True,True,-42.03639433360159
7319,Artesanos no clasificados previamente,276,62,214,-53.15176407123139,3.18151700300362e-05,0.0002802182283414727,True,True,-47.62063124235457
1219,"Otros directores, gerentes y administradores de servicios administrativos no clasificados previamente",62,42,20,-51.73692298814607,0.022555439970517233,0.06376784880553638,True,False,-55.291707707701754
6123,Trabajadores calificados de la apicultura y la sericultura,105,81,24,-51.125026204742575,0.044499057413007526,0.1029321631068558,True,False,-48.78180727069192
7322,Impresores,206,118,88,-49.211032277014574,3.982352421161295e-06,4.3426604973616024e-05,True,True,-42.71356511321574
3332,Organizadores de conferencias y eventos,173,97,76,-48.44082481294444,0.000436462152530126,0.002701346835929699,True,True,-43.79198559565406
7514,"Operarios de la conservación de frutas, legumbres y verduras",59,23,36,-47.655697171433516,0.007708245423877047,0.02660989824622268,True,True,-54.225396175046534
9611,Recolectores de basura y material reciclable,280,240,40,-44.13309245121193,0.0014775329069709464,0.007199043312688228,True,True,-43.03692464351316
7512,"Panaderos, pasteleros y confíteros",2164,767,1397,-43.02552648073893,0.0,0.0,True,True,-39.48596301303788
3435,Tatuadores,90,67,23,-41.14052412874221,0.13299529522118858,0.2324879588217724,False,False,-19.305610591241297
1221,"Directores, gerentes y administradores comercialización",113,79,34,-40.13583754511547,0.00013353192433918082,0.0009864132475378195,True,True,-42.18796364165706
1321,"Directores, gerentes y administradores de industrias manufactureras",421,310,111,-39.6596576626878,0.002079313508682068,0.009336525362513599,True,True,-47.127150804475384
1420,"Directores, gerentes y administradores de comercios al por mayor y al por menor",1042,674,368,-38.56812658460541,4.936051567483446e-13,1.2559508988374546e-11,True,True,-45.600409759582384
7314,"Alfareros (barro, arcilla y abrasivos)",76,39,37,-38.518359193955256,0.008797044826586164,0.028373567116735658,True,True,-26.043158870009265
7531,"Sastres, modistos, peleteros y sombrereros",402,46,356,-38.20768829937787,0.00041903496060546885,0.0026655279438514545,True,True,-30.948218053565625
1431,"Directores, gerentes y administradores de centros deportivos, de esparcimiento y culturales",75,52,23,-38.05625898539492,0.030020063368863426,0.0799371454822061,True,False,-50.11352349475471
1411,"Directores, gerentes y administradores de hoteles",144,51,93,-37.58521090726868,0.03530243752984119,0.08600274674823014,True,False,-54.73177210358833
5249,Otros vendedores no clasificados previamente,510,198,312,-37.40087781273553,2.1775980574290088e-08,3.8359227319326385e-07,True,True,-36.29147929238879
6121,Criadores de ganado,1017,904,113,-36.97708341833097,0.00015917086394834357,0.0011045493286112327,True,True,-29.39566022478064
5243,Representantes de ventas de puerta a puerta (venta a hogares),390,86,304,-36.74702963787918,0.004429829194404489,0.018114837241404072,True,True,-42.69206790086286
4313,Empleados encargados de nóminas o registros de remuneraciones,91,22,69,-36.41753327564948,0.03352628280961523,0.08345129090654226,True,False,-51.82261471641327
9520,Vendedores ambulantes (excluyendo comida de consumo inmediato),1045,464,581,-36.10275868109364,1.2234657731369225e-13,3.5021707756044407e-12,True,True,-35.23998435106178
2651,Artistas de artes plásticas,104,44,60,-35.59955522227545,0.05603310171010967,0.11982722805819093,False,False,-21.576806120423964
