oficio4_08,nombre,n,n_h,n_m,ingreso_h,ingreso_m,brecha_pct
5142,Cosmetólogos y especialistas en tratamiento de belleza,685,25,660,1301886.5076948535,427652.13160960627,-67.15135082190722
6122,Avicultores y trabajadores calificados de la avicultura,106,76,30,645435.3822725498,281774.2325428195,-56.34354107599358
1219,"Otros directores, gerentes y administradores de servicios administrativos no clasificados previamente",62,42,20,2815188.809246309,1258622.8414179105,-55.291707707701754
1411,"Directores, gerentes y administradores de hoteles",144,51,93,1910164.8261958428,864697.7667194301,-54.73177210358833
7514,"Operarios de la conservación de frutas, legumbres y verduras",59,23,36,569735.8006849315,260794.3056124539,-54.225396175046534
6130,Productores y trabajadores calificados de explotaciones agropecuarias mixtas,243,203,40,776335.1677089756,361340.0537313433,-53.455663383421694
7318,"Artesanos de los tejidos, el cuero y materiales similares",424,65,359,427900.1617722823,200537.2328746801,-53.13457418569498
4313,Empleados encargados de nóminas o registros de remuneraciones,91,22,69,1665827.0530023482,802551.9174831598,-51.82261471641327
1431,"Directores, gerentes y administradores de centros deportivos, de esparcimiento y culturales",75,52,23,1629842.4156529387,813070.9537572254,-50.11352349475471
3311,Agentes de bolsa y otros servicios financieros,109,37,72,2542082.205500382,1293721.849393677,-49.10778862326281
6123,Trabajadores calificados de la apicultura y la sericultura,105,81,24,611165.8099947944,313028.0824587706,-48.78180727069192
7319,Artesanos no clasificados previamente,276,62,214,522298.226039783,273576.51383201836,-47.62063124235457
6114,Agricultores y trabajadores calificados de cultivos mixtos,301,232,69,575068.2312386029,301446.1230305062,-47.580807518919876
1321,"Directores, gerentes y administradores de industrias manufactureras",421,310,111,2976219.951792046,1573612.286838124,-47.127150804475384
3251,Técnicos y auxiliares paramédicos en odontología,344,24,320,1097717.3853698405,587412.7170408317,-46.487800514982105
1420,"Directores, gerentes y administradores de comercios al por mayor y al por menor",1042,674,368,2298227.0718292817,1250226.1098694776,-45.600409759582384
3332,Organizadores de conferencias y eventos,173,97,76,1322833.1552612216,743538.2504546914,-43.79198559565406
9611,Recolectores de basura y material reciclable,280,240,40,435269.7298458741,247943.02421608198,-43.03692464351316
7322,Impresores,206,118,88,658597.4037572597,377286.9728694542,-42.71356511321574
5243,Representantes de ventas de puerta a puerta (venta a hogares),390,86,304,405139.80393996247,232177.24374849102,-42.69206790086286
1221,"Directores, gerentes y administradores comercialización",113,79,34,4055593.993356708,2344621.473986152,-42.18796364165706
7513,Operarios de la elaboración de productos lácteos,69,34,35,580399.9730297723,335839.29557069845,-42.13657629624473
7533,Costureros y bordadores,589,39,550,375824.05281779123,217841.17197478138,-42.03639433360159
5244,Vendedores por internet y otros medios de comunicación,688,144,544,674147.4140854753,394625.7923353578,-41.462982117836454
4120,Secretarios generales,695,38,657,1004208.444262742,590489.4453303913,-41.19851822557518
6111,Agricultores y trabajadores calificados de cultivos extensivos,1504,1243,261,526971.4619351319,311622.01075179194,-40.86548641411034
6222,Pescadores en agua dulce y en aguas costeras,590,567,23,586059.7304557803,346722.9837037037,-40.83828564128502
7512,"Panaderos, pasteleros y confíteros",2164,767,1397,564132.1424449641,341379.13333448744,-39.48596301303788
1342,"Directores, gerentes y administradores de servicios de salud",140,46,94,3758197.7744742567,2288654.4971217103,-39.10234015180652
1439,"Directores, gerentes y administradores de otros servicios no clasificados previamente",463,307,156,2657108.8051532777,1676762.64418811,-36.89522081534089
1412,"Directores, gerentes y administradores de restaurantes",685,326,359,1324728.3627458583,843054.4368086609,-36.360203305287264
